cpu_pct_15m_mean,cpu_pct_5m_mean,icmp_loss_pct_15m_mean,icmp_loss_pct_5m_mean,icmp_rtt_sec_15m_mean,icmp_rtt_sec_5m_mean,interface_count,interfaces_with_counter_reset,interfaces_with_oper_down
-0.914693981089,-0.868586271692,0,0,1.32543261117,2.65465867221,0.0165439220783,-0.174881662288,-0.0636540190381
-0.914693981089,-0.868586271692,0,0,0.316143955548,0.426714555028,0.745827017777,-0.174881662288,1.51672162605
-0.914693981089,-0.868586271692,0,0,-0.481527096413,-0.393035397408,0.648589271684,-0.174881662288,-0.207324532228
1.39651157269,1.68093958433,0,0,-0.370633426612,-0.302741828542,2.30163095527,-0.174881662288,1.51672162605
-1.08347054165,-1.05513694408,0,0,-0.360540540056,-0.291839136104,2.30163095527,-0.174881662288,4.53380240302
1.22084617292,1.82603455175,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-1.12135915728,-1.07586479657,0,0,-0.492670257966,-0.393035397408,-0.0320749509682,-0.174881662288,-0.350995045417
3.7456057421,3.77445268562,0,0,-0.492670257966,-0.393035397408,1.42649124043,7.73599562655,-0.350995045417
3.03261088422,3.02824999605,0,0,-0.492670257966,-0.393035397408,1.47511011348,0.813977998817,-0.207324532228
-0.914693981089,-0.868586271692,0,0,-0.492670257966,-0.393035397408,1.76682335175,-0.174881662288,0.51102803372
-0.123029100736,0.033442985639,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
1.13818010244,1.32856609204,0,0,-0.49208107931,-0.393035397408,1.37787236738,-0.174881662288,2.52241521837
-0.12301872844,0.0327425327745,0,0,-0.492593408576,-0.392854689799,-0.664120300573,-0.174881662288,-0.494665558606
-0.122587156441,0.0326928239296,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.122458066484,0.0340518075769,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.122587156441,0.0326928239296,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.122840775946,0.0302911325722,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.122825486167,0.0312336694805,0,0,-0.492183545163,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.12301872844,0.0327425327745,0,0,0.319243547612,0.183783292027,-0.664120300573,-0.174881662288,-0.494665558606
-0.914693981089,-0.868586271692,0,0,0.500147011723,0.190409237708,0.211019414265,-0.174881662288,0.0800164941514
-0.914693981089,-0.868586271692,0,0,0.803855801088,0.484360282449,0.0165439220783,-0.174881662288,-0.0636540190381
-0.914693981089,-0.868586271692,0,0,0.947871557989,0.21703349217,-0.0806938240148,-0.174881662288,-0.350995045417
-0.914693981089,-0.868586271692,0,0,0.366813320035,0.430208235477,-0.0806938240148,-0.174881662288,-0.494665558606
-0.914693981089,-0.868586271692,0,0,4.67539998806,4.56130465975,-0.129312697061,-0.174881662288,-0.494665558606
-0.914693981089,-0.868586271692,0,0,2.35572676672,4.08176690008,0.405494906451,-0.174881662288,1.22938059967
-0.914693981089,-0.868586271692,0,0,3.12598820291,0.41900436369,-0.0806938240148,-0.174881662288,-0.207324532228
-0.914693981089,-0.868586271692,0,0,2.47743058405,4.1959138734,-0.0806938240148,-0.174881662288,-0.207324532228
-0.914693981089,-0.868586271692,0,0,0.978969944484,0.530320251125,1.0861591291,-0.174881662288,0.51102803372
-0.123552110593,0.032351263467,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.12446557182,0.0332655068567,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.124307980438,0.0328647683753,0,0,-0.491568750043,-0.390445255006,-0.664120300573,-0.174881662288,-0.494665558606
-0.12364891371,0.0312689931958,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.123552110593,0.032351263467,0,0,-0.492055462846,-0.391589736532,-0.664120300573,-0.174881662288,-0.494665558606
-0.124307980438,0.0328647683753,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.124664593829,0.0330404921994,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.12446557182,0.0332655068567,0,0,-0.492593408576,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.123552110593,0.032351263467,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.12364891371,0.0312689931958,0,0,-0.488136143955,-0.392914925668,-0.664120300573,-0.174881662288,-0.494665558606
-0.124307980438,0.0328647683753,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.123552110593,0.032351263467,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.124664593829,0.0330404921994,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.12446557182,0.0332655068567,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.12364891371,0.0312689931958,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.124248948827,0.0313218250372,0,0,-0.449788298334,-0.292200551323,-0.664120300573,-0.174881662288,-0.494665558606
-0.124396004878,0.0343530350932,0,0,-0.486906553715,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-0.124664593829,0.0330404921994,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
2.01995152087,1.95040166668,0,0,-0.492644641503,-0.392975161538,0.794445890823,-0.174881662288,1.66039213924
-0.198254703615,-0.0394721721711,0,0,-0.356698070555,-0.282080925192,0.0651627951249,-0.174881662288,-0.0636540190381
-0.914693981089,-0.868586271692,0,0,1.4732652211,1.46494000732,3.95467263885,0.319548168264,2.52241521837
-0.914693981089,-0.868586271692,0,0,1.17952123598,0.20329971385,0.211019414265,-0.174881662288,0.0800164941514
-0.914693981089,-0.868586271692,0,0,1.33214412456,2.33251724039,0.0165439220783,-0.174881662288,-0.0636540190381
-0.914693981089,-0.868586271692,0,0,0.320191356756,0.123908837422,0.745827017777,-0.174881662288,1.51672162605
-0.914693981089,-0.868586271692,0,0,-0.481527096413,-0.393035397408,0.648589271684,-0.174881662288,-0.207324532228
1.53428835682,2.03331307663,0,0,-0.376115349767,-0.30665716008,2.30163095527,-0.174881662288,1.51672162605
-1.09724822006,-1.05513694408,0,0,-0.362743555903,-0.298284374175,2.30163095527,-0.174881662288,4.53380240302
1.22084617292,1.82603455175,0,0,-0.492670257966,-0.393035397408,-0.664120300573,-0.174881662288,-0.494665558606
-1.12135915728,-1.07586479657,0,0,-0.492670257966,-0.393035397408,-0.0320749509682,-0.174881662288,-0.350995045417
3.71805038527,3.77445268562,0,0,-0.492670257966,-0.393035397408,1.42649124043,7.73599562655,-0.350995045417
3.03949972343,3.0386139223,0,0,-0.492670257966,-0.393035397408,1.47511011348,0.813977998817,-0.207324532228
-0.914693981089,-0.868586271692,0,0,-0.492670257966,-0.393035397408,1.76682335175,-0.174881662288,0.51102803372
