discard_total_rate_15m,discard_total_rate_5m,discard_total_rate_behavior_5m_change,error_total_rate_15m,error_total_rate_5m,error_total_rate_behavior_5m_change,in_bps_15m_mean,in_bps_5m_mean,in_bps_behavior_5m_change,in_discard_rate_15m_mean,in_discard_rate_5m_mean,in_error_rate_15m_mean,in_error_rate_5m_mean,oper_status_last,out_bps_15m_mean,out_bps_5m_mean,out_bps_behavior_5m_change,out_discard_rate_15m_mean,out_discard_rate_5m_mean,out_error_rate_15m_mean,out_error_rate_5m_mean,traffic_total_bps_15m,traffic_total_bps_5m,traffic_total_bps_behavior_5m_change,traffic_variability_5m
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.722951728301,0.324453149903,-10.1412932741,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.0406137392832,0.0300530852581,-0.474946677966,-0.126450991038,-0.0933227045776,0,0,0.428921615561,0.198814709676,-6.3616412726,0.913432878314
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,1.07831860488,1.13879017505,0.0592325875984,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.047425739059,-0.0383339101588,0.0791875614399,-0.126450991038,-0.0933227045776,0,0,0.579521425854,0.617477581272,0.0818463359316,0.965258925528
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,1.85746713965,2.16635217562,4.9488939277,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.00211968672125,0.0254167594898,0.362032541812,-0.126450991038,-0.0933227045776,0,0,1.04500487982,1.22949919363,3.18062355611,4.50654139773
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,3.84517572217,4.11019709354,1.79914618261,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.328157907748,0.352164395223,0.0396921197513,-0.126450991038,-0.0933227045776,0,0,2.34385929784,2.50231226229,1.10256834658,5.78899795568
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,1.43209548228,1.55221097935,1.05389975182,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,12.1582515615,12.5867378144,-2.7413893044,-0.126450991038,-0.0933227045776,0,0,7.58580019394,7.89520024973,-0.970444443819,7.95690688674
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,11.8999033294,12.3459390248,-2.69223461831,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,1.45779704429,1.57522327954,1.06394291993,-0.126450991038,-0.0933227045776,0,0,7.5003293388,7.80497882232,-0.993095076921,7.94694029791
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.201012587658,-0.201517277404,0.0295435135446,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.208905179375,-0.208961461272,0.031775742574,-0.126450991038,-0.0933227045776,0,0,-0.229473729239,-0.2296344127,0.0363165037629,-0.198350614717
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.20090023789,-0.201400622155,0.0295219239538,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.208587842769,-0.208653081552,0.0312349233474,-0.126450991038,-0.0933227045776,0,0,-0.229233605048,-0.229396870642,0.0359873687743,-0.198079709123
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,3.58753341012,3.79546696024,0.759996841332,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.294288609828,0.365459602766,1.1850799108,-0.126450991038,-0.0933227045776,0,0,2.18018464652,2.33317416006,1.14879581286,5.31550580519
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.231389130606,0.187226480447,-0.461065969324,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,1.98730838623,1.4631534386,-4.84160147629,-0.126450991038,-0.0933227045776,0,0,1.23841264288,0.92161780554,-3.10716745715,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.146194759092,-0.140320308384,0.058915093615,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.194993446577,-0.194146722347,0.0340380610737,-0.126450991038,-0.0933227045776,0,0,-0.190909301243,-0.187036212978,0.0552597969238,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,11.9031923448,13.3753661875,7.00792072547,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,3.63733201296,5.03933838069,9.69925520394,-0.126450991038,-0.0933227045776,0,0,8.71776928532,10.3157224275,9.8747647279,-0.198352553328
