discard_total_rate_15m,discard_total_rate_5m,discard_total_rate_behavior_5m_change,error_total_rate_15m,error_total_rate_5m,error_total_rate_behavior_5m_change,in_bps_15m_mean,in_bps_5m_mean,in_bps_behavior_5m_change,in_discard_rate_15m_mean,in_discard_rate_5m_mean,in_error_rate_15m_mean,in_error_rate_5m_mean,oper_status_last,out_bps_15m_mean,out_bps_5m_mean,out_bps_behavior_5m_change,out_discard_rate_15m_mean,out_discard_rate_5m_mean,out_error_rate_15m_mean,out_error_rate_5m_mean,traffic_total_bps_15m,traffic_total_bps_5m,traffic_total_bps_behavior_5m_change,traffic_variability_5m
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,1.56432508995,1.41716358196,1.65278039794,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,7.54925747616,8.87172320121,9.6009368749,-0.126450991038,-0.0933227045776,0,0,5.08953452307,5.74616543989,6.60461750937,1.53245683931
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,7.42265528907,8.74436623518,9.24808313235,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,1.50764527866,1.36160626668,1.66973821007,-0.126450991038,-0.0933227045776,0,0,5.01209583195,5.66534645115,6.52433498421,1.5650679875
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.174665347985,-0.174459593641,0.0358787884901,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.194093769463,-0.193998345749,0.0304260836687,-0.126450991038,-0.0933227045776,0,0,-0.206406863265,-0.206104926394,0.0393281143051,-0.190418930568
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.197906647189,-0.198287171774,0.0290770090516,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.200148032283,-0.199091870751,0.0379041583563,-0.126450991038,-0.0933227045776,0,0,-0.222844192117,-0.222314360148,0.0396195359096,-0.191591075693
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202100161477,-0.202654858853,0.0295511334002,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.20965073924,-0.209741767156,0.0317444662814,-0.126450991038,-0.0933227045776,0,0,-0.230500723447,-0.230708048421,0.0363027898051,-0.198349755183
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202102055899,-0.202657612754,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.209986792607,-0.210093884754,0.0317596700347,-0.126450991038,-0.0933227045776,0,0,-0.230689215022,-0.230906103129,0.0363065992378,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202104160813,-0.202659815875,0.029542666894,-0.0520290368181,-0.0399003197374,0,0,1.6603722096,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230702049246,-0.230917844282,0.0363154879142,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202099950986,-0.202654858853,0.0295490167737,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.209447134801,-0.209529167852,0.0317488102109,-0.126450991038,-0.0933227045776,0,0,-0.230387048892,-0.230589400984,0.036304059616,-0.198310487992
